"projected.revenue","banner"
50,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
25,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
50,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
50,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
50,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
25,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
50,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
25,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
25,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
50,"original banner"
50,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
25,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
50,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
80,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
25,"original banner"
25,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
10,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
25,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
0,"original banner"
